Timestamp;Symbol No 1;Symbol No 2;Symbol No 3;Symbol No 4
19500;-10848;5492;5492;-10984
19600;5560;5560;-11120;5704
19700;5704;-11408;5600;5600
19800;-11200;5684;5684;-11368
19900;5736;5736;-11472;5764
20000;5764;-11528;5768;5768
20100;-11536;5776;5776;-11552
20200;5804;5804;-11608;5848
20300;5848;-11696;5828;5828
20400;-11656;6324;6324;-12648
20500;5892;5892;-11784;5920
20600;5920;-11840;5928;5928
20700;-11856;5992;5992;-11984
20800;6068;6068;-12136;6000
20900;6000;-12000;6032;6032
21000;-12064;6088;6088;-12176
21100;6116;6116;-12232;6096
21200;6096;-12192;6180;6180
21300;-12360;6244;6244;-12488
21400;6272;6272;-12544;6348
21500;6348;-12696;6372;6372
21600;-12744;6404;6404;-12808
21700;6472;6472;-12944;6608
21800;6608;-13216;6568;6568
21900;-13136;6576;6576;-13152
22000;6640;6640;-13280;6724
22100;6724;-13448;6780;6780
22200;-13560;6784;6784;-13568
22300;6868;6868;-13736;6940
22400;6940;-13880;6976;6976
22500;-13952;7048;7048;-14096
22600;7084;7084;-14168;7108
22700;7108;-14216;7120;7120
22800;-14240;7200;7200;-14400
22900;7240;7240;-14480;7248
23000;7248;-14496;7312;7312
23100;-14624;7328;7328;-14656
23200;7356;7356;-14712;7388
23300;7388;-14776;7456;7456
23400;-14912;7468;7468;-14936
23500;7492;7492;-14984;7332
23600;7332;-14664;7412;7412
23700;-14824;7512;7512;-15024
23800;7440;7440;-14880;7456
23900;7456;-14912;7492;7492
24000;-14984;7472;7472;-14944
24100;7464;7464;-14928;7472
24200;7472;-14944;7408;7408
24300;-14816;7412;7412;-14824
24400;7432;7432;-14864;7372
24500;7372;-14744;7332;7332
24600;-14664;7328;7328;-14656
24700;7284;7284;-14568;7252
24800;7252;-14504;7288;7288
24900;-14576;7192;7192;-14384
25000;7192;7192;-14384;7188
25100;7188;-14376;7140;7140
25200;-14280;7076;7076;-14152
25300;7020;7020;-14040;7060
25400;7060;-14120;7080;7080
25500;-14160;6948;6948;-13896
25600;6900;6900;-13800;4440
25700;4440;-8880;4392;4392
25800;-8784;4312;4312;-8624
25900;4316;4316;-8632;4324
26000;4324;-8648;4268;4268
26100;-8536;4320;4320;-8640
26200;4312;4312;-8624;4272
26300;4272;-8544;4280;4280
26400;-8560;4236;4236;-8472
26500;4264;4264;-8528;4332
26600;4332;-8664;4180;4180
26700;-8360;4160;4160;-8320
26800;4156;4156;-8312;4140
26900;4140;-8280;4108;4108
27000;-8216;4100;4100;-8200
27100;4028;4028;-8056;4072
27200;4072;-8144;4068;4068
27300;-8136;3996;3996;-7992
27400;3948;3948;-7896;3964
27500;3964;-7928;3904;3904
27600;-7808;3940;3940;-7880
27700;3948;3948;-7896;3808
27800;3808;-7616;3772;3772
27900;-7544;3776;3776;-7552
28000;3776;3776;-7552;3708
28100;3708;-7416;3736;3736
28200;-7472;3656;3656;-7312
28300;3684;3684;-7368;3684
28400;3684;-7368;3612;3612
28500;-7224;3552;3552;-7104
28600;3524;3524;-7048;3476
28700;3476;-6952;3296;3296
28800;-6592;3348;3348;-6696
28900;3312;3312;-6624;3300
29000;3300;-6600;3188;3188
29100;-6376;3148;3148;-6296
29200;3192;3192;-6384;3168
29300;3168;-6336;3076;3076
29400;-6152;3064;3064;-6128
29500;2976;2976;-5952;2876
29600;2876;-5752;2884;2884
29700;-5768;2824;2824;-5648
29800;2808;2808;-5616;2760
29900;2760;-5520;16376;16376
30000;-32752;4352;4352;-8704
30100;16988;16988;31560;18368
30200;18368;28800;18604;18604
30300;28328;18668;18668;28200
30400;18584;18584;28368;18676
30500;18676;28184;18528;18528
30600;28480;18556;18556;28424
30700;18508;18508;28520;18412
30800;18412;28712;18380;18380
30900;28776;18324;18324;28888
31000;18256;18256;29024;18236
31100;18236;29064;18168;18168
31200;29200;18080;18080;29376
31300;18120;18120;29296;17996
31400;17996;29544;18012;18012
31500;29512;17940;17940;29656
31600;17928;17928;29680;17920
31700;17920;29696;17844;17844
31800;29848;17764;17764;30008
31900;17712;17712;30112;17696
32000;17696;30144;17696;17696
32100;30144;17696;17696;30144
32200;17660;17660;30216;17584
32300;17584;30368;17584;17584
32400;30368;17568;17568;30400
32500;17440;17440;30656;17460
32600;17460;30616;17424;17424
32700;30688;17416;17416;30704
32800;17296;17296;30944;17364
32900;17364;30808;17212;17212
33000;31112;17192;17192;31152
33100;17264;17264;31008;17116
33200;17116;31304;17084;17084
33300;31368;17056;17056;31424
33400;16920;16920;31696;16928
33500;16928;31680;16940;16940
33600;31656;16868;16868;31800
33700;16868;16868;31800;16912
33800;16912;31712;16844;16844
33900;31848;16896;16896;31744
34000;16872;16872;31792;16864
34100;16864;31808;16992;16992
34200;31552;16928;16928;31680
34300;16940;16940;31656;16920
34400;16920;31696;16976;16976
34500;31584;16928;16928;31680
34600;16960;16960;31616;17036
34700;17036;31464;17024;17024
34800;31488;17072;17072;31392
34900;17056;17056;31424;17064
35000;17064;31408;16948;16948
35100;31640;17076;17076;31384
35200;17008;17008;31520;16964
35300;16964;31608;16972;16972
35400;31592;16904;16904;31728
35500;16936;16936;31664;16872
35600;16872;31792;16756;16756
35700;32024;16708;16708;32120
35800;16616;16616;32304;16608
35900;16608;32320;16476;16476
36000;32584;16492;16492;32552
36100;16356;16356;-32712;16704
36200;16704;32128;16288;16288
36300;-32576;16188;16188;-32376
36400;16100;16100;-32200;16104
36500;16104;-32208;16064;16064
36600;-32128;15964;15964;-31928
36700;15912;15912;-31824;15984
36800;15984;-31968;15888;15888
36900;-31776;15788;15788;-31576
37000;15744;15744;-31488;15672
37100;15672;-31344;15724;15724
37200;-31448;15608;15608;-31216
37300;15616;15616;-31232;15464
37400;15464;-30928;15488;15488
37500;-30976;15452;15452;-30904
37600;15400;15400;-30800;15332
37700;15332;-30664;15260;15260
37800;-30520;15260;15260;-30520
37900;15164;15164;-30328;15160
38000;15160;-30320;15232;15232
38100;-30464;15248;15248;-30496
38200;15268;15268;-30536;15296
38300;15296;-30592;15272;15272
38400;-30544;15256;15256;-30512
38500;15344;15344;-30688;15328
38600;15328;-30656;15400;15400
38700;-30800;15448;15448;-30896
38800;15440;15440;-30880;15548
38900;15548;-31096;15552;15552
39000;-31104;15464;15464;-30928
39100;15516;15516;-31032;15556
39200;15556;-31112;15540;15540
39300;-31080;15592;15592;-31184
39400;15604;15604;-31208;15536
39500;15536;-31072;15712;15712
39600;-31424;15792;15792;-31584
39700;15700;15700;-31400;15672
39800;15672;-31344;15692;15692
39900;-31384;15720;15720;-31440
40000;15668;15668;-31336;15676
40100;15676;-31352;15680;15680
40200;-31360;15708;15708;-31416
40300;15624;15624;-31248;15752
40400;15752;-31504;15624;15624
40500;-31248;15668;15668;-31336
40600;15644;15644;-31288;15680
40700;15680;-31360;15596;15596
40800;-31192;15720;15720;-31440
40900;15604;15604;-31208;15668
41000;15668;-31336;15680;15680
41100;-31360;15692;15692;-31384
41200;15616;15616;-31232;15616
41300;15616;-31232;15628;15628
41400;-31256;15592;15592;-31184
41500;15572;15572;-31144;15628
41600;15628;-31256;15620;15620
41700;-31240;15612;15612;-31224
41800;15636;15636;-31272;15484
41900;15484;-30968;15672;15672
42000;-31344;15588;15588;-31176
42100;15592;15592;-31184;15548
42200;15548;-31096;15560;15560
42300;-31120;15572;15572;-31144
42400;15568;15568;-31136;15616
42500;15616;-31232;15544;15544
42600;-31088;15484;15484;-30968
42700;15544;15544;-31088;15556
42800;15556;-31112;15592;15592
42900;-31184;15600;15600;-31200
43000;15628;15628;-31256;15504
43100;15504;-31008;15544;15544
43200;-31088;15504;15504;-31008
43300;15476;15476;-30952;-8424
43400;-8424;16848;-5908;-5908
43500;11816;-5856;-5856;11712
43600;-5848;-5848;11696;-5728
43700;-5728;11456;-5824;-5824
43800;11648;-5824;-5824;11648
43900;-5756;-5756;11512;-5848
44000;-5848;11696;-5828;-5828
44100;11656;-5776;-5776;11552
44200;-5796;-5796;11592;-5848
44300;-5848;11696;-5836;-5836
44400;11672;-5748;-5748;11496
44500;-5804;-5804;11608;-5772
44600;-5772;11544;-5776;-5776
44700;11552;-5776;-5776;11552
44800;-5772;-5772;11544;-5748
44900;-5748;11496;-5752;-5752
45000;11504;-5796;-5796;11592
45100;-5788;-5788;11576;-5708
45200;-5708;11416;-5776;-5776
45300;11552;-5764;-5764;11528
45400;-5820;-5820;11640;-5772
45500;-5772;11544;-5792;-5792
45600;11584;-5816;-5816;11632
45700;-5780;-5780;11560;-5812
45800;-5812;11624;-5808;-5808
45900;11616;-5772;-5772;11544
46000;-5808;-5808;11616;-5824
46100;-5824;11648;-5792;-5792
46200;11584;-5832;-5832;11664
46300;-5880;-5880;11760;-5816
46400;-5816;11632;-5860;-5860
46500;11720;-5856;-5856;11712
46600;-5820;-5820;11640;-5836
46700;-5836;11672;-5856;-5856
46800;11712;-5840;-5840;11680
46900;-5844;-5844;11688;-5892
47000;-5892;11784;-5972;-5972
47100;11944;-5944;-5944;11888
47200;-5980;-5980;11960;-5992
47300;-5992;11984;-6028;-6028
47400;12056;-6084;-6084;12168
47500;-6108;-6108;12216;-6152
47600;-6152;12304;-6232;-6232
47700;12464;-6292;-6292;12584
47800;-6436;-6436;12872;-6336
47900;-6336;12672;-6356;-6356
48000;12712;-6352;-6352;12704
48100;-6412;-6412;12824;-6496
48200;-6496;12992;-6552;-6552
48300;13104;-6876;-6876;13752
48400;-6560;-6560;13120;-6596
48500;-6596;13192;-6608;-6608
48600;13216;-6588;-6588;13176
48700;-6652;-6652;13304;-6688
48800;-6688;13376;-6784;-6784
48900;13568;-6736;-6736;13472
49000;-6796;-6796;13592;-6856
